game_name,current_price,steam_link,review_velocity,rating
The Cycle: Frontier,$0.00,https://store.steampowered.com/app/868270/?curator_clanid=32686107,1276,58%
V Rising,$19.99,https://store.steampowered.com/app/1604030/?curator_clanid=32686107,1220,89%
Vampire: The Masquerade - Bloodhunt,$0.00,https://store.steampowered.com/app/760160/?curator_clanid=32686107,826,71%
Chivalry 2,$23.99,https://store.steampowered.com/app/1824220/?curator_clanid=32686107,774,84%
Outward Definitive Edition,$39.99,https://store.steampowered.com/app/794260/?curator_clanid=32686107,710,74%
Hardspace: Shipbreaker,$34.99,https://store.steampowered.com/app/1161580/?curator_clanid=32686107,604,89%
20 Minutes Till Dawn,$2.99,https://store.steampowered.com/app/1966900/?curator_clanid=32686107,563,93%
STRIDE,$13.99,https://store.steampowered.com/app/1292040/?curator_clanid=32686107,459,86%
The Quarry,$59.99,https://store.steampowered.com/app/1577120/?curator_clanid=32686107,354,73%
Dorfromantik,$13.99,https://store.steampowered.com/app/1455840/?curator_clanid=32686107,336,97%
Big Bia,$11.99,https://store.steampowered.com/app/585020/?curator_clanid=32686107,290,85%
The Stanley Parable: Ultra Deluxe,$24.99,https://store.steampowered.com/app/1703340/?curator_clanid=32686107,263,94%
My Time at Sandrock,$24.99,https://store.steampowered.com/app/1084600/?curator_clanid=32686107,248,81%
Arma Reforger,$29.99,https://store.steampowered.com/app/1874880/?curator_clanid=32686107,207,59%
Sniper Elite 5,$49.99,https://store.steampowered.com/app/1029690/?curator_clanid=32686107,204,73%
POSTAL: Brain Damaged,$16.99,https://store.steampowered.com/app/1359980/?curator_clanid=32686107,202,96%
Retrowave,$2.99,https://store.steampowered.com/app/1239690/?curator_clanid=32686107,189,95%
Rogue Legacy 2,$24.99,https://store.steampowered.com/app/1253920/?curator_clanid=32686107,186,89%
Hatsune Miku: Project DIVA Mega Mix+,$39.39,https://store.steampowered.com/app/1761390/?curator_clanid=32686107,169,88%
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,$29.99,https://store.steampowered.com/app/1922560/?curator_clanid=32686107,135,89%
